timestamp_sec,car_count,bus_count,truck_count,person_count
0.44,0,0,0,2
0.61,0,0,0,2
0.7,0,0,0,2
0.8,0,0,0,2
0.89,0,0,0,2
0.98,0,0,0,2
1.06,0,0,0,2
1.15,0,0,0,2
1.23,0,0,0,2
1.31,0,0,0,2
1.39,0,0,0,2
1.47,0,0,0,2
1.55,0,0,0,2
1.62,0,0,0,2
1.72,0,0,0,2
1.81,0,0,0,3
1.88,0,0,0,2
1.96,0,0,0,2
2.07,0,0,0,2
2.18,0,0,0,3
2.26,0,0,0,4
2.34,0,0,0,2
2.42,0,0,0,2
2.51,0,0,0,2
2.59,0,0,0,3
2.66,0,0,0,4
2.74,0,0,0,2
2.84,0,0,0,2
2.91,0,0,0,2
3.02,0,0,0,2
3.13,0,0,0,2
3.22,0,0,0,2
3.3,0,0,0,2
3.38,0,0,0,2
3.47,0,0,0,2
3.56,0,0,0,2
3.64,0,0,0,2
3.72,0,0,0,2
3.8,0,0,0,2
3.88,0,0,0,2
3.97,0,0,0,2
4.05,0,0,0,2
4.13,0,0,0,2
4.2,0,0,0,2
4.28,0,0,0,2
4.36,0,0,0,2
4.44,0,0,0,2
4.5,0,0,0,2
4.58,0,0,0,2
4.66,0,0,0,2
4.73,0,0,0,2
4.81,0,0,0,3
4.91,0,0,0,3
4.98,0,0,0,2
5.08,0,0,0,2
5.17,0,0,0,3
5.25,0,0,0,2
5.33,0,0,0,2
5.4,0,0,0,3
5.48,0,0,0,3
5.56,0,0,0,3
5.64,0,0,0,3
5.71,0,0,0,3
5.79,0,0,0,3
5.87,0,0,0,3
5.95,0,0,0,3
6.03,0,0,0,3
6.1,0,0,0,3
6.2,0,0,0,3
6.29,0,0,0,3
6.37,0,0,0,3
6.45,0,0,0,3
6.52,0,0,0,3
6.6,0,0,0,3
6.68,0,0,0,3
6.76,0,0,0,3
6.83,0,0,0,3
6.91,0,0,0,3
7.01,0,0,0,3
7.08,0,0,0,3
7.16,0,0,0,3
7.24,0,0,0,3
7.32,0,0,0,3
7.4,0,0,0,3
7.47,0,0,0,3
7.57,0,0,0,3
7.65,0,0,0,3
7.72,0,0,0,3
7.8,0,0,0,3
7.88,0,0,0,3
7.96,0,0,0,3
8.05,0,0,0,3
8.13,0,0,0,3
8.22,0,0,0,3
8.3,0,0,0,3
8.39,0,0,0,4
8.47,0,0,0,4
8.55,0,0,0,4
8.63,0,0,0,4
8.7,0,0,0,3
8.78,0,0,0,4
8.86,0,0,0,4
8.94,0,0,0,3
9.03,0,0,0,4
9.11,0,0,0,4
9.19,0,0,0,4
9.27,0,0,0,5
9.34,0,0,0,5
9.42,0,0,0,5
9.5,0,0,0,5
9.59,0,0,0,3
9.69,0,0,0,3
9.78,0,0,0,3
9.86,0,0,0,3
9.94,0,0,0,3
10.11,0,0,0,3
10.23,0,0,0,3
10.36,0,0,0,3
10.45,0,0,0,2
10.54,0,0,0,2
10.64,0,0,0,2
10.74,0,0,0,2
10.85,0,0,0,2
10.93,0,0,0,2
11.01,0,0,0,2
11.09,0,0,0,2
11.16,0,0,0,2
11.24,0,0,0,2
11.34,0,0,0,2
11.41,0,0,0,2
11.51,0,0,0,2
11.6,0,0,0,2
11.69,0,0,0,2
11.8,0,0,0,2
11.93,0,0,0,2
12.04,0,0,0,2
12.16,0,0,0,2
12.33,0,0,0,2
12.46,0,0,0,2
12.58,0,0,0,2
12.75,0,0,0,2
12.91,0,0,0,2
13.09,0,0,0,2
13.28,0,0,0,2
13.45,0,0,0,2
13.62,0,0,0,2
13.78,0,0,0,2
13.92,0,0,0,2
14.07,0,0,0,2
14.21,0,0,0,2
14.37,0,0,0,2
14.49,0,0,0,4
14.62,0,0,0,3
14.76,0,0,0,3
14.9,0,0,0,2
15.04,0,0,0,2
15.21,0,0,0,2
15.36,0,0,0,2
15.5,0,0,0,2
15.61,0,0,0,2
15.7,0,0,0,2
15.81,0,0,0,2
15.93,0,0,0,2
16.06,0,0,0,2
16.2,0,0,0,2
16.34,0,0,0,2
16.48,0,0,0,2
16.65,0,0,0,2
16.81,0,0,0,2
16.93,0,0,0,2
17.04,0,0,0,2
17.15,0,0,0,2
17.26,0,0,0,3
17.4,0,0,0,3
17.51,0,0,0,2
17.63,0,0,0,3
17.76,0,0,0,2
17.86,0,0,0,3
17.96,0,0,0,3
18.05,0,0,0,2
18.16,0,0,0,2
18.26,1,0,0,2
18.37,0,0,0,3
18.47,0,0,0,2
18.56,0,0,0,2
18.67,0,0,0,2
18.8,0,0,0,2
18.91,0,0,0,2
19.02,0,0,0,2
19.11,0,0,0,2
19.22,0,0,0,2
19.33,0,0,0,3
19.42,0,0,0,3
19.51,0,0,0,3
19.62,0,0,0,2
19.72,0,0,0,2
19.84,0,0,0,2
19.95,0,0,0,2
20.06,0,0,0,2
20.23,0,0,0,2
20.37,0,0,0,3
20.51,0,0,0,2
20.65,0,0,0,3
20.78,0,0,0,3
20.9,0,0,0,3
21.04,0,0,0,3
21.18,0,0,0,2
21.32,0,0,0,2
21.43,0,0,0,2
21.55,0,0,0,2
21.68,0,0,0,2
21.79,0,0,0,2
21.91,0,0,0,4
22.02,0,0,0,2
22.14,0,0,0,2
22.3,0,0,0,2
22.47,0,0,0,2
22.67,0,0,0,2
22.83,0,0,0,2
22.97,0,0,0,3
23.09,0,0,0,2
23.23,0,0,0,2
23.32,0,0,0,2
23.43,0,0,0,4
23.54,0,0,0,2
23.65,0,0,0,3
23.77,0,0,0,2
23.88,0,0,0,3
23.99,0,0,0,2
24.1,0,0,0,2
24.21,0,0,0,2
24.33,0,0,0,2
24.44,0,0,0,2
24.55,0,0,0,2
24.66,0,0,0,4
24.77,0,0,0,2
24.91,0,0,0,2
25.03,0,0,0,2
25.14,0,0,0,2
25.27,0,0,0,2
25.36,0,0,0,2
25.47,0,0,0,2
25.58,0,0,0,2
25.69,0,0,0,2
25.83,0,0,0,2
25.97,0,0,0,2
26.11,0,0,0,2
26.26,0,0,0,1
26.42,0,0,0,1
26.57,0,0,0,1
26.73,0,0,0,2
26.85,0,0,0,2
26.99,0,0,0,2
27.12,0,0,0,2
27.26,0,0,0,2
27.41,0,0,0,2
27.54,0,0,0,2
27.68,0,0,0,2
27.83,0,0,0,2
27.99,0,0,0,2
28.11,0,0,0,1
28.28,0,0,0,3
28.48,0,0,0,2
28.62,0,0,0,2
28.81,0,0,0,1
28.95,0,0,0,2
29.1,0,0,0,1
29.25,0,0,0,1
29.42,0,0,0,2
29.6,0,0,0,2
29.77,0,0,0,2
29.93,0,0,0,1
